,iso2,partner_iso2,flow,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,sum_2021,ISO3,name
93,FR,TJ,1,806293.0,2626973.0,18865155.0,15345506.0,23219578.0,51005496.0,FRA,France
94,FR,TJ,2,14336910.0,5713312.0,7558160.0,4718761.0,4133756.0,8891203.0,FRA,France
95,FR,KG,1,873459.0,877297.0,388157.0,460788.0,309443.0,2042968.0,FRA,France
96,FR,KG,2,16442149.0,18200554.0,21949095.0,28107712.0,18599208.0,27486846.0,FRA,France
97,FR,SI,1,1114566369.0,1520792837.0,1660740824.0,1726066211.0,1534160429.0,1818373239.0,FRA,France
98,FR,SI,2,748403574.0,980593673.0,1032181857.0,1356245491.0,1063711723.0,1239878068.0,FRA,France
99,FR,HR,1,223820777.0,301994624.0,325407874.0,334014866.0,392735597.0,393296189.0,FRA,France
100,FR,HR,2,409760119.0,481706545.0,534744941.0,598035012.0,527777430.0,631728717.0,FRA,France
101,FR,BA,1,65799804.0,71877610.0,87658617.0,97558498.0,94560494.0,109224767.0,FRA,France
102,FR,BA,2,92521739.0,94254511.0,84164623.0,87698859.0,68044628.0,80049652.0,FRA,France
103,FR,XK,1,3149783.0,3562743.0,3185758.0,4228612.0,6846677.0,10027398.0,FRA,France
104,FR,XK,2,12145556.0,10490589.0,13524535.0,20429151.0,23589659.0,51521832.0,FRA,France
105,FR,MK,1,32934030.0,36859237.0,40970999.0,50383366.0,50313842.0,60059961.0,FRA,France
106,FR,MK,2,70896169.0,73110510.0,79870222.0,98849148.0,86589587.0,88635204.0,FRA,France
107,FR,ME,1,2061596.0,1797663.0,3241381.0,1896207.0,566224.0,4855671.0,FRA,France
108,FR,ME,2,14667623.0,29430998.0,26962323.0,33266330.0,35042124.0,32637706.0,FRA,France
109,FR,XS,1,322775076.0,365517517.0,386686261.0,407419484.0,389681907.0,480203338.0,FRA,France
110,FR,XS,2,423612605.0,438182613.0,476895059.0,602820288.0,585138445.0,634735492.0,FRA,France
111,FR,MA,1,3769317943.0,4465686532.0,4701665727.0,5030873389.0,4563472211.0,5667502413.0,FRA,France
112,FR,MA,2,4374591808.0,4270219877.0,4588741853.0,4891859135.0,4133706434.0,4638754737.0,FRA,France
113,FR,DZ,1,2997493572.0,3396073902.0,4162202295.0,4158471384.0,2665913689.0,4307970833.0,FRA,France
114,FR,DZ,2,5109158019.0,4991691618.0,5277591150.0,4978921383.0,4273256342.0,3760109879.0,FRA,France
115,FR,TN,1,3997048471.0,4108295602.0,4321734225.0,4379674326.0,3577282984.0,4121855966.0,FRA,France
116,FR,TN,2,3258160754.0,3298394826.0,3335392108.0,3367270319.0,2581653322.0,3091319402.0,FRA,France
117,FR,LY,1,504388024.0,1385660511.0,2283496752.0,1432750701.0,463578493.0,1827144919.0,FRA,France
118,FR,LY,2,175773361.0,162200614.0,197276746.0,187595372.0,150110927.0,176159600.0,FRA,France
119,FR,EG,1,428410990.0,549852994.0,684235132.0,641986976.0,517509132.0,729979054.0,FRA,France
120,FR,EG,2,2695020919.0,2860465965.0,2605205077.0,2962772226.0,2099687970.0,2009115423.0,FRA,France
121,FR,SD,1,49949540.0,54257058.0,46703371.0,45662101.0,46354862.0,40931556.0,FRA,France
122,FR,SD,2,83240198.0,83248540.0,79631566.0,76591682.0,66626353.0,49604205.0,FRA,France
123,FR,SS,1,695.0,140821.0,12356.0,135519.0,64706.0,24962.0,FRA,France
124,FR,SS,2,1861135.0,1362832.0,1541373.0,3461729.0,7373084.0,1383546.0,FRA,France
125,FR,MR,1,38467363.0,32914019.0,37260872.0,91494170.0,29014656.0,33418563.0,FRA,France
126,FR,MR,2,147650174.0,181293952.0,177852053.0,202835492.0,238512178.0,177342813.0,FRA,France
127,FR,EH,2,21146.0,5450.0,4566.0,0.0,7894.0,0.0,FRA,France
128,FR,ML,1,11144683.0,8345671.0,7906866.0,8623922.0,7276118.0,6212976.0,FRA,France
129,FR,ML,2,368570530.0,331283898.0,342480377.0,340343332.0,371240057.0,407540605.0,FRA,France
130,FR,BF,1,12537420.0,15695841.0,18325872.0,21166694.0,22831174.0,18690299.0,FRA,France
131,FR,BF,2,234297219.0,250724909.0,271385601.0,267938761.0,321796554.0,301156544.0,FRA,France
132,FR,NE,1,216386987.0,237797497.0,4291981.0,49791042.0,34390891.0,165775148.0,FRA,France
133,FR,NE,2,129610018.0,153750102.0,130257825.0,142978749.0,119215399.0,108742711.0,FRA,France
134,FR,TD,1,91859292.0,8966845.0,49250116.0,73856846.0,286649169.0,168914210.0,FRA,France
135,FR,TD,2,109792086.0,86928339.0,88929332.0,89246178.0,88513820.0,70349379.0,FRA,France
136,FR,CV,1,239972.0,682287.0,657955.0,122156.0,1256070.0,741510.0,FRA,France
137,FR,CV,2,36264233.0,26143237.0,18936536.0,28400191.0,17898538.0,19098934.0,FRA,France
138,FR,SN,1,65571477.0,75246753.0,80032234.0,71574881.0,67021796.0,67329443.0,FRA,France
139,FR,SN,2,760567179.0,759233533.0,839750326.0,1084005661.0,802732387.0,814742118.0,FRA,France
140,FR,GM,1,5436728.0,51082.0,108317.0,958403.0,96425.0,63720.0,FRA,France
141,FR,GM,2,8460529.0,7525583.0,7870229.0,17596490.0,17681136.0,19042819.0,FRA,France
142,FR,GW,1,12590.0,2611958.0,142856.0,177959.0,44471.0,252434.0,FRA,France
143,FR,GW,2,4917398.0,3351246.0,3278478.0,5282777.0,3800794.0,3877933.0,FRA,France
144,FR,GN,1,131308524.0,89435924.0,75337754.0,46049562.0,48899211.0,41961717.0,FRA,France
145,FR,GN,2,144147244.0,171296941.0,170188248.0,148604212.0,149616112.0,149192917.0,FRA,France
146,FR,SL,1,7047142.0,7039567.0,5249228.0,1216740.0,6447368.0,2609406.0,FRA,France
147,FR,SL,2,38360730.0,19812009.0,16179356.0,13962310.0,18835831.0,11651446.0,FRA,France
148,FR,LR,1,21761658.0,16977373.0,49729884.0,82399328.0,127602862.0,162559657.0,FRA,France
149,FR,LR,2,21789772.0,8648961.0,9001850.0,5420075.0,10957261.0,75340491.0,FRA,France
150,FR,CI,1,662185395.0,705576469.0,698872267.0,826624113.0,757467340.0,732068426.0,FRA,France
151,FR,CI,2,1076049406.0,1183118212.0,1105364056.0,1111470260.0,1128548623.0,1381632512.0,FRA,France
152,FR,GH,1,264856950.0,288213477.0,427141106.0,396518846.0,265833095.0,228558392.0,FRA,France
153,FR,GH,2,274356503.0,227257795.0,213709957.0,233296022.0,219582149.0,202527960.0,FRA,France
154,FR,TG,1,12039678.0,14769660.0,19161435.0,109243723.0,23729974.0,27524226.0,FRA,France
155,FR,TG,2,296042511.0,305069673.0,239275497.0,179150060.0,184421550.0,203580341.0,FRA,France
156,FR,BJ,1,3365222.0,2824471.0,2282275.0,2013304.0,5720544.0,10645472.0,FRA,France
157,FR,BJ,2,213924861.0,182916706.0,222694802.0,162733941.0,178568669.0,225850025.0,FRA,France
158,FR,NG,1,2118050912.0,2456887381.0,3725683670.0,3923386759.0,1776500036.0,2889115194.0,FRA,France
159,FR,NG,2,1161936238.0,1082986790.0,661096101.0,598557163.0,570561525.0,616027576.0,FRA,France
160,FR,CM,1,230717811.0,440839394.0,322105816.0,186861768.0,202696834.0,231426334.0,FRA,France
161,FR,CM,2,649405266.0,539058717.0,504867609.0,519720582.0,518543519.0,537214851.0,FRA,France
162,FR,CF,1,5577077.0,3041004.0,4909887.0,4883762.0,4438380.0,6155167.0,FRA,France
163,FR,CF,2,35099643.0,28859265.0,29701316.0,34107047.0,41377297.0,46054103.0,FRA,France
164,FR,GQ,1,45013193.0,145645163.0,12625642.0,3465068.0,173145.0,106290317.0,FRA,France
165,FR,GQ,2,43040040.0,29480890.0,45299923.0,33105680.0,22317446.0,17596463.0,FRA,France
166,FR,ST,1,753553.0,709449.0,1364731.0,2048876.0,1406414.0,3142931.0,FRA,France
167,FR,ST,2,1196525.0,3208492.0,1844374.0,2395534.0,2680354.0,1378959.0,FRA,France
168,FR,GA,1,153209199.0,112086157.0,147734863.0,152806338.0,104723420.0,161357617.0,FRA,France
169,FR,GA,2,474003897.0,433665777.0,461001354.0,457443872.0,398759890.0,402186675.0,FRA,France
170,FR,CG,1,35624131.0,26272836.0,29650475.0,23213344.0,33052455.0,46003047.0,FRA,France
171,FR,CG,2,521915656.0,331277360.0,303106768.0,287374310.0,255226221.0,251938723.0,FRA,France
172,FR,CD,1,14604274.0,13858602.0,18568425.0,68573912.0,51736236.0,113818050.0,FRA,France
173,FR,CD,2,237628416.0,128146676.0,107480831.0,132587431.0,142425310.0,148305111.0,FRA,France
174,FR,RW,1,3391354.0,3102021.0,4103511.0,4153930.0,4596321.0,4318108.0,FRA,France
175,FR,RW,2,238824943.0,19369405.0,16796341.0,20904858.0,19861254.0,25099904.0,FRA,France
176,FR,BI,1,2379781.0,1456653.0,1525757.0,2439395.0,2510016.0,1973959.0,FRA,France
177,FR,BI,2,21644812.0,9859769.0,11338213.0,7626210.0,7368364.0,8584126.0,FRA,France
178,FR,SH,1,311152.0,15500.0,49738.0,556279.0,2794.0,26459.0,FRA,France
179,FR,SH,2,35910.0,32245.0,1.0,107344.0,1444270.0,437963.0,FRA,France
180,FR,AO,1,933117226.0,329496016.0,509819363.0,456383069.0,435508848.0,197137140.0,FRA,France
181,FR,AO,2,257403930.0,302818639.0,271906107.0,256344030.0,195280107.0,242932660.0,FRA,France
182,FR,ET,1,40832452.0,36121760.0,34222836.0,34812422.0,38908319.0,62234476.0,FRA,France
183,FR,ET,2,432554347.0,836064594.0,615972531.0,700800877.0,462113559.0,404261732.0,FRA,France
184,FR,ER,1,1988092.0,4723.0,1283.0,11898.0,2592.0,293174.0,FRA,France
185,FR,ER,2,2927483.0,2576352.0,5357024.0,3125691.0,2791803.0,2127446.0,FRA,France
186,FR,DJ,1,2849104.0,1593660.0,1092529.0,1626999.0,1679168.0,1231878.0,FRA,France
187,FR,DJ,2,86827611.0,81615041.0,72065504.0,72822483.0,73032708.0,69731252.0,FRA,France
188,FR,SO,1,9929699.0,9353298.0,6225019.0,3716703.0,2442373.0,2821042.0,FRA,France
